Simulation,Time,Population,Species,camouflage,feeding_bonus
0,0,58,Prey,0.7989372109292148,
0,0,77,Predator,,1.494730571279785
0,1,24,Prey,0.7989372109292148,
0,1,84,Predator,,1.494730571279785
0,2,10,Prey,0.7989372109292148,
0,2,85,Predator,,1.494730571279785
0,3,2,Prey,0.7989372109292148,
0,3,82,Predator,,1.494730571279785
0,4,2,Prey,0.7989372109292148,
0,4,79,Predator,,1.494730571279785
0,5,1,Prey,0.7989372109292148,
0,5,75,Predator,,1.494730571279785
0,6,0,Prey,0.7989372109292148,
0,6,71,Predator,,1.494730571279785
0,7,0,Prey,0.7989372109292148,
0,7,67,Predator,,1.494730571279785
0,8,0,Prey,0.7989372109292148,
0,8,62,Predator,,1.494730571279785
0,9,0,Prey,0.7989372109292148,
0,9,57,Predator,,1.494730571279785
0,10,0,Prey,0.7989372109292148,
0,10,53,Predator,,1.494730571279785
0,11,0,Prey,0.7989372109292148,
0,11,48,Predator,,1.494730571279785
0,12,0,Prey,0.7989372109292148,
0,12,47,Predator,,1.494730571279785
0,13,0,Prey,0.7989372109292148,
0,13,39,Predator,,1.494730571279785
0,14,0,Prey,0.7989372109292148,
0,14,36,Predator,,1.494730571279785
0,15,0,Prey,0.7989372109292148,
0,15,33,Predator,,1.494730571279785
0,16,0,Prey,0.7989372109292148,
0,16,30,Predator,,1.494730571279785
0,17,0,Prey,0.7989372109292148,
0,17,27,Predator,,1.494730571279785
0,18,0,Prey,0.7989372109292148,
0,18,23,Predator,,1.494730571279785
0,19,0,Prey,0.7989372109292148,
0,19,21,Predator,,1.494730571279785
0,20,0,Prey,0.7989372109292148,
0,20,21,Predator,,1.494730571279785
0,21,0,Prey,0.7989372109292148,
0,21,20,Predator,,1.494730571279785
0,22,0,Prey,0.7989372109292148,
0,22,15,Predator,,1.494730571279785
0,23,0,Prey,0.7989372109292148,
0,23,13,Predator,,1.494730571279785
0,24,0,Prey,0.7989372109292148,
0,24,13,Predator,,1.494730571279785
0,25,0,Prey,0.7989372109292148,
0,25,13,Predator,,1.494730571279785
0,26,0,Prey,0.7989372109292148,
0,26,10,Predator,,1.494730571279785
0,27,0,Prey,0.7989372109292148,
0,27,9,Predator,,1.494730571279785
0,28,0,Prey,0.7989372109292148,
0,28,8,Predator,,1.494730571279785
0,29,0,Prey,0.7989372109292148,
0,29,8,Predator,,1.494730571279785
0,30,0,Prey,0.7989372109292148,
0,30,7,Predator,,1.494730571279785
0,31,0,Prey,0.7989372109292148,
0,31,6,Predator,,1.494730571279785
0,32,0,Prey,0.7989372109292148,
0,32,4,Predator,,1.494730571279785
0,33,0,Prey,0.7989372109292148,
0,33,4,Predator,,1.494730571279785
0,34,0,Prey,0.7989372109292148,
0,34,4,Predator,,1.494730571279785
0,35,0,Prey,0.7989372109292148,
0,35,3,Predator,,1.494730571279785
0,36,0,Prey,0.7989372109292148,
0,36,3,Predator,,1.494730571279785
0,37,0,Prey,0.7989372109292148,
0,37,2,Predator,,1.494730571279785
0,38,0,Prey,0.7989372109292148,
0,38,1,Predator,,1.494730571279785
0,39,0,Prey,0.7989372109292148,
0,39,1,Predator,,1.494730571279785
0,40,0,Prey,0.7989372109292148,
0,40,1,Predator,,1.494730571279785
0,41,0,Prey,0.7989372109292148,
0,41,1,Predator,,1.494730571279785
0,42,0,Prey,0.7989372109292148,
0,42,1,Predator,,1.494730571279785
0,43,0,Prey,0.7989372109292148,
0,43,1,Predator,,1.494730571279785
0,44,0,Prey,0.7989372109292148,
0,44,1,Predator,,1.494730571279785
0,45,0,Prey,0.7989372109292148,
0,45,1,Predator,,1.494730571279785
0,46,0,Prey,0.7989372109292148,
0,46,1,Predator,,1.494730571279785
0,47,0,Prey,0.7989372109292148,
0,47,1,Predator,,1.494730571279785
0,48,0,Prey,0.7989372109292148,
0,48,1,Predator,,1.494730571279785
0,49,0,Prey,0.7989372109292148,
0,49,1,Predator,,1.494730571279785
0,50,0,Prey,0.7989372109292148,
0,50,1,Predator,,1.494730571279785
0,51,0,Prey,0.7989372109292148,
0,51,0,Predator,,1.494730571279785
0,52,0,Prey,0.7989372109292148,
0,52,0,Predator,,1.494730571279785
0,53,0,Prey,0.7989372109292148,
0,53,0,Predator,,1.494730571279785
0,54,0,Prey,0.7989372109292148,
0,54,0,Predator,,1.494730571279785
0,55,0,Prey,0.7989372109292148,
0,55,0,Predator,,1.494730571279785
0,56,0,Prey,0.7989372109292148,
0,56,0,Predator,,1.494730571279785
